"NRIC","Nombor Kad Pengenalan"
"Passport Number","Nombor Passport"
"Please input NRIC or Passport Number","Sila masukkan Nombor Kad Pengenalan atau Passport anda"
"DATA PROTECTION AND PRIVACY POLICY NOTICE","NOTIS POLISI PERIBADI DAN PERLINDUNGAN DATA"
"* I hereby consent to the Processing of my Personal Data for the above Purpose and agree to the terms in this Data Protection and Privacy Policy Notice.","*Saya dengan ini bersetuju dengan Pemprosesan Data Peribadi saya untuk Tujuan di atas dan bersetuju dengan terma di dalam Notis Polisi Peribadi dan Perlindungan Data"
"Terms & Conditions | Privacy Policy","Terma & Syarat | Polisi Peribadi"
"Note: Checkout will not be processed as we cannot identify your unique ID on LANC√îME Malaysia.","Nota: Keluar tidak boleh diproses kerana kami tidak boleh mengesahkan ID unik anda pada LANC√îME Malaysia"
"Submit","Hantar"
"Customer Attributes","Atribut Pelanggan",module,Acommerce_CustomerAttributes
"The coupon code ""%1"" is not valid.","Kod kupon ""%1"" tidak sah."
"You canceled the coupon code.","Anda telah membatalkan kod kupon."
"We cannot apply the coupon code.","Kami tidak boleh menggunakan kod kupon."
"Strength: <strong>%1</strong>","Kekuatan: <kuat>%1</kuat>"
"Not secure","Tidak selamat"
"Weak","Lemah"
"So-so","Sederhana"
"Good","Bagus"
"Perfect!","Sempurna!"
"Shipping method is not applicable for empty cart","Kaedah penghantaran tidak boleh digunakan pada troli yang kosong."
"Cart contains virtual product(s) only. Shipping method is not applicable.","Troli mengandungi produk maya sahaja. Kaedah penghantaran tidak boleh digunakan."
"Shipping address is not set","Alamat penghantaran belum ditetapkan"
"Captcha is required","Captcha diperlukan"
"Inline","Talian sebaris"
"Bottom Right","Bawah Sebelah Kanan"
"Bottom Left","Bawah Sebelah Kiri"
"Normal","Normal"
"Compact","Kompak"
"Light Theme","Tema Cerah"
"Dark Theme","Tema Gelap"
"reCaptcha v2","Captcha semula v2"
"Invisible reCaptcha","Captcha semula tidak kelihatan"
"This is a required field.","Maklumat diperlukan."
"This is a required field.","Maklumat diperlukan.",module,Magnento_Ui
"Canceled","Telah dibatalkan"
"Success","Berjaya"
"Back","Kembali"
"Delete Category","Padam Kategori"
"Are you sure you want to do this?","Adakah anda pasti mahu melakukannya?"
"Save and Continue Edit","Simpan dan Teruskan Edit"
"Save Category","Simpan Kategori"
"Edit","Edit"
"ID","ID"
"Name","Nama"
"SKU","SKU"
"Point Balance","Baki Mata"
"Price","Harga"
"Quantity","Kuantiti"
"Visibility","Ketampakan"
"Status","Status"
"Redemption Category","Kategori Penembusan"
"System > Tools > Index Management","Sistem > Alatan > Pengurusan Indeks"
"Item Value","Nilai Item"
"Add More Item","Tambah Lebih Item"
"Label","Label"
"Run The Cron Right Now!","Jalankan Kron Sekarang!"
"Delete Template","Padam Templat"
"Save Template","Simpan Templat"
"You deleted the Category.","Anda telah memadam Kategori."
"We can't find a Category to delete.","Kami tidak dapat mencari Kategori untuk dipadam."
"This Category no longer exists.","Kategori ini tidak wujud lagi."
"Edit Category","Edit Kategori"
"New Category","Kategori Baru"
"Please correct the data sent.","Sila betulkan data yang dihantar."
"You saved the Category.","Anda telah menyimpan Kategori"
"Something went wrong while saving the Category.","Ralat berlaku semasa menyimpan Kategori"
"Redemption Template","Templat Penembusan"
"You deleted the Template.","Anda telah memadam Templat."
"We can't find a Template to delete.","Kami tidak dapat mencari Templat untuk dipadam."
"This Redemption Template no longer exists.","Templat Penembusan ini tidak wujud lagi."
"Edit Redemption Template","Edit Templat Penembusan"
"New Redemption Template","Templat Penembusan Baru"
"Redemption Templates","Templat Penembusan"
"This Template no longer exists.","Templat Penembusan ini tidak wujud lagi."
"You saved the Template.","Anda telah menyimpan Templat."
"Something went wrong while saving the Template.","Ralat berlaku semasa menyimpan Templat."
"There is a problem when placing order","Ralat berlaku ketika membuat pesanan"
"You don't have enough points to purchase this item(s).","Anda tidak mempunyai mata yang cukup untuk membeli item ini"
"Your points were expiry and unavailable to redeem this item(s).","Mata kesetiaan anda telah tamat tempoh dan tidak boleh ditebus untuk item ini"
"API: %1","API: %1"
"Point: insufficient points","Mata: mata kesetiaan tidak mencukupi"
"My Loyalty Points","Mata  Kesetiaan Saya"
"Loyalty Program","Program Kesetiaan"
"Enabled","Dibolehkan"
"Disabled","Tidak dibolehkan"
"Could not save the category: %1","Tidak boleh menyimpan  kategori: %1"
"Category with id ""%1"" does not exist.","Kategori dengan ID ""%1"" tidak wujud"
"Could not delete the Category: %1","Tidak boleh memadam Kategori: %1"
"Could not save the orderItem: %1","Tidak boleh menyimpan item pesanan: %1"
"Order Item with id ""%1"" does not exist.","Item Pesanan dengan identiti ""%1"" tidak wujud."
"Could not delete the Order Item: %1","Tidak boleh memadam Item Pesanan: %1"
"Could not save the Redemption Product: %1","Tidak boleh menyimpan Produk Penembusan: %1"
"Redemption Product with id ""%1"" does not exist.","Produk Penembusan dengan ID ""%1"" tidak wujud."
"Could not delete the RedemptionProduct: %1","Produk Penembusan tidak boleh dipadam: %1"
"Yes","Ya"
"No","Tidak"
"Could not save the template: %1","Templat tidak boleh disimpan: %1"
"Template with id ""%1"" does not exist.","Templat dengan ID ""%1"" tidak wujud."
"Could not delete the Template: %1","Tidak boleh memadam Templat: %1"
"Delete","Padam"
"Delete ""${ $.$data.title }","Padam ""${ $.$data.title }"
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Adakah anda pasti untuk memadam rekod ""${ $.$data.title }""?"
"Company","Syarikat"
"Fax","Faks"
"Street Address","Alamat Jalan"
"Street Address %1","Alamat Jalan %1"
"City","Bandar"
"Country","Negara"
"State/Province","Negeri/Wilayah"
"Please select a region, state or province.","Sila pilih kawasan, negeri atau wilayah."
"Zip/Postal Code","Poskod/Kod Zip"
"Mobile Number","Nombor Telefon Bimbit"
"Save in address book","Simpan di dalam buku alamat"
"Maximum length of this field must be equal or less than 10 symbols.","Panjang sekurang-kurangnya sama atau kurang daripada 10 simbol."
"Choose an Address","Pilih Alamat"
"New Address","Alamat Baru"
"Sorry, you don't have enough points to redeem items.","Maaf, mata kesetiaan anda tidak cukup untuk menebus item ini."
"Enjoy amazing treats and rewards by earning points everytime you shop.","Nikmati pelbagai tawaran dan ganjaran hebat menerusi mata kesetiaan yang dikumpul setiap kali anda membeli."
"Back To Catalog","Kembali Ke Katalog"
"Earn Point","Mata Diperolehi"
"Sorry, your membership tier does not enable you to redeem ","Maaf, tahap keahliaan anda tidak membolehkan anda untuk menebus "
"Upgrade to the next membership tier to enjoy amazing treats and rewards by earning points every time you shop!","Naik taraf ke tahap keahlian seterusnya dengan menambah mata setiap kali anda membeli untuk menikmati tawaran dan ganjaran hebat!"
"Elite Rewards","Ganjaran Elit"
"Our Rewards Catalog","Katalog Ganjaran Kami"
"It's pampering time. Pick and choose your next sweet treats within our delightful selection.","Masa untuk memanjakan dirimu. Ambil dan pilih ganjaran hebat seterusnya menerusi pilihan kami yang menarik."
"Use them before %1","Guna sebelum %1"
"Membership Status: %1","Status keahlian: %1"
"PTS","PTS"
"Redeem","Tebus"
"Inactivated","Tidak diaktifkan"
"Your membership is being updated! Do visit us after 20th August 2018 or %1 for your latest membership information.","Keahlian anda telah dinaik taraf! Kunjungi kami selepas 20 Ogos 2018 atau %1 untuk maklumat keahlian anda yang terkini."
"Please login first","Sila log masuk terlebih dahulu"
"Member status","Status keahlian: %1"
"Total points","Jumlah mata"
"Expired Date","Tarikh Tamat Tempoh"
"Items","Item-Item"
"Description","Deskripsi"
"Points History","Sejarah Mata"
"Date","Tarikh"
"Collection Outlet","Koleksi Kedai"
"Collection Date","Tarikh Koleksi"
"N/A","N/A"
"Customer Loyalty Points waiting for update...","Mata Kesetiaan Pelanggan sedang ditunggu untuk dikemas kini…"
"Please select Outlet that you would like to collect your redemption","Sila pilih Kedai untuk mengambil produk penebusan anda"
"* Required Fields","* Maklumat diperlukan"
"Continue To Redeem","Teruskan untuk Menebus"
"<strong>%1</strong> is successfully redeemed.","<strong>%1</strong> telah berjaya ditebus"
"Click <a href=""%1"">here</a> to check your redemption order.","Klik <a href=""%1"">sini</a>  untuk memeriksa pesanan penebusan anda."
"Error","Ralat"
"An error has occurred while redeeming %1.","Ralat telah berlaku semasa menebus %1"
"Lanc√¥me Elite Rewards","Ganjaran Elit Lancome"
"Lancôme Elite Rewards","Ganjaran Elit Lancome"
"Welcome a universe of","Selamat datang ke dunia"
"Exclusive privileges.","Ganjaran eksklusif."
"Bonjour Beauty. Enjoy amazing rewards by earning points everytime you shop.","Bonjour. Nikmati ganjaran hebat ini dengan memperolehi mata setiap kali anda membeli."
"Create your account","Cipta akaun anda"
"Create My Account","Cipta Akaun Saya"
"Sign Up","Mendaftar"
"Already a Member?","Memang Ahli?"
"Sign In","Daftar Masuk"
"Bonjour","Bonjour"
"Welcome to your personal beauty space! View all your Elite rewards happy moments <br/>Unlock new rewards and enjoy amazing treats.","Selamat datang ke ruang kecantikan peribadi anda! Lihat kesemua ganjaran Elit yang menyeronokkan <br/> Dapatkan ganjaran baru dan nikmati ganjaran hebat."
"Bonjour Beauty! Start shopping today to become a Lanc√¥me member and earning points.","Bonjour Cantik! Mula membeli hari ini untuk menjadi ahli Lanc√¥me dan kumpulkan mata."
"See the rewards catalog","Lihat katalog ganjaran"
"Login to discover all the rewards","Log masuk untuk melihat kesemua ganjaran"
"Review Details","Butiran Ulasan"
"Product","Produk"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Pentadbir"
"Guest","Pelanggan"
"Author","Penulis"
"Summary Rating","Penilaian Rumusan"
"Detailed Rating","Penilaian Butiran"
"Status","Status"
"Visibility","Ketampakan"
"Nickname","Nama timangan"
"Summary of Review","Ulasan Rumusan"
"Review","Ulasan"
"Please enter a review.","Tulis ulasan"
"Set Complete","Set Lengkap",module,Acommerce_Sales
"Payment Received","Bayaran Diterima",module,Acommerce_Sales
"Shipped","Telah dihantar",module,Acommerce_Sales
"Search results","Hasil pencarian",module,Acommerce_Search
"Page not found.","Halaman tidak ditemui",module,Acommerce_Wishlist
"The requested cart item doesn't exist.","Troli item yang diminta tidak wujud lagi.",module,Acommerce_Wishlist
"%1 has been moved to your wish list.","%1 telah dipindahkan ke senarai hajat anda",module,Acommerce_Wishlist
"We can't move the item to the wish list.","Kami tidak boleh memindahkan item ke dalam senarai hajat anda.",module,Acommerce_Wishlist
"Added to wishlist.","Ditambah ke senarai hajat",module,Acommerce_Wishlist
"Please login before adding product to wishlist.","Sila log masuk terlebih dahulu sebelum menambah produk ke senarai hajat",module,Acommerce_Wishlist
"Shop Now","Beli Sekarang",module,Acommerce_Youmayalsolike
"no result","tiada hasil",module,Acommerce_Youmayalsolike
"We're sorry, no products were found for your search: ""%1","Maaf, tiada produk ditemui dalam pencarian anda: ""%1",module,Acommerce_Youmayalsolike
"YOU MAY ALSO LIKE","MUNGKIN ANDA JUGA AKAN MENYUKAI",module,Acommerce_Youmayalsolike
"quick shop","beli cepat",module,Acommerce_Youmayalsolike
"discover","temui",module,Acommerce_Youmayalsolike
"Add to Cart","Tambah ke Troli",module,Acommerce_Youmayalsolike
"In stock","Ada stok",module,Acommerce_Youmayalsolike
"Out of stock","Tiada stok",module,Acommerce_Youmayalsolike
"-1%","-1%",module,Acommerce_Youmayalsolike
"Manage Checkout Fields","Urus Ruang Keluar",module,Amasty_Checkout
"Enabled Checkout Fields","Membolehkan Ruang Keluar",module,Amasty_Checkout
"Disabled Checkout Fields","Tidak Membolehkan Ruang Keluar",module,Amasty_Checkout
"Gift wrap %1","Balut hadiah %1",module,Amasty_Checkout
"Gift Wrap","Balut hadiah",module,Amasty_Checkout
"Delivery Date","Tarikh Penghantaran",module,Amasty_Checkout
"Delivery Time","Waktu Penghantaran",module,Amasty_Checkout
"System","Sistem",module,Amasty_Checkout
"One Step Checkout","Selangkah Untuk Keluar",module,Amasty_Checkout
"Fields information has been successfully updated","Ruang maklumat telah berjaya dikemas kini",module,Amasty_Checkout
"One-page checkout is turned off.","Satu halaman keluar telah ditutup.",module,Amasty_Checkout
"Guest checkout is disabled.","Halaman keluar pelanggan dilumpuhkan.",module,Amasty_Checkout
"Checkout","Keluar",module,Amasty_Checkout
"Customer is already registered","Pelanggan telah berdaftar",module,Amasty_Checkout
"Your session has expired","Sesi anda telah tamat",module,Amasty_Checkout
"Registration: A letter with further instructions will be sent to your email.","Pendaftaran: Surat dengan arahan lanjut telah dihantar ke e-mel anda.",module,Amasty_Checkout
"Something went wrong with the registration.","Masalah berlaku semasa pendaftaran",module,Amasty_Checkout
"Could not save the fee: %1","Tidak boleh menyimpan bayaran: %1",module,Amasty_Checkout
"Fee with id ""%1"" does not exist.","Bayaran dengan ID ""%1"" tidak wujud.",module,Amasty_Checkout
"Could not delete the fee: %1","Bayaran tidak boleh dipadam: %1",module,Amasty_Checkout
"Whole Order","Pesanan Keseluruhan",module,Amasty_Checkout
"Gift Message for %1 (optional)","Mesej Hadiah untuk %1 (pilihan)",module,Amasty_Checkout
"We can't find the quote item.","Kami tidak dapat mencari item yang disebut",module,Amasty_Checkout
"Additional","Tambahan",module,Amasty_Checkout
"The confirmation request has been sent.","Permintaan pengesahan telah dihantar",module,Amasty_Checkout
"Thank you for your subscription.","Terima kasih kerana melanggan.",module,Amasty_Checkout
"There was a problem with the subscription: %1","Terdapat masalah dengan langganan: %1",module,Amasty_Checkout
"Something went wrong with the subscription.","Terdapat masalah dengan langganan.",module,Amasty_Checkout
"Need more custom fields? Please consider""
""    <a href=""https://amasty.com/order-attributes-for-magento-2.html"" target=""_blank"">Order Attributes</a> extension","Perlu lebih ruang untuk diubahsuai? Sila pertimbangkan <a href=""https://amasty.com/order-attributes-for-magento-2.html"" target=""_blank"">Order Attributes</a> extension",module,Amasty_Checkout
"Delivery Information","Maklumat Penghantaran",module,Amasty_Checkout
"Field","Ruang",module,Amasty_Checkout
"Label","Label",module,Amasty_Checkout
"Default Value","Nilai Asal",module,Amasty_Checkout
"Width","Lebar",module,Amasty_Checkout
"Required","Diperlukan",module,Amasty_Checkout
"Drop fields here","Letakkan ruang di sini",module,Amasty_Checkout
"label","label",module,Amasty_Checkout
"Loading...","Pemuatan…",module,Amasty_Checkout
"Order details:","Maklumat pesanan:",module,Amasty_Checkout
"Order Date:","Tarikh Pesanan:",module,Amasty_Checkout
"Comments","Komen",module,Amasty_Checkout
"Your order number is: %1.","Nombor pesanan anda: %1.",module,Amasty_Checkout
"Your order # is: <span>%1</span>.","Pesanan anda # adalah: <span>%1</span>.",module,Amasty_Checkout
"We'll email you an order confirmation with details and tracking info.","Kami akan menghantar e-mel pengesahan pesanan anda bersama maklumat dan info jejakan.",module,Amasty_Checkout
"Continue Shopping","Teruskan Membeli",module,Amasty_Checkout
"Choose an Option...","Pilih Pilihan Anda…",module,Amasty_Checkout
"Delivery Date Info","Info Tarikh Penghantaran",module,Amasty_Checkout
"Articles","Artikel",module,Hoatamus_CustomizeTheme
"Best Matches","Padanan Sesuai",module,Hoatamus_CustomizeTheme
"Position","Posisi",module,Hoatamus_CustomizeTheme
"Best Seller","Jualan Terbaik",module,Hoatamus_CustomizeTheme
"Top Rated","Paling Hangat",module,Hoatamus_CustomizeTheme
"We're sorry, no products were found for your search","Maaf, tiada produk ditemui dalam pencarian anda",module,Hoatamus_CustomizeTheme
"View All","Lihat Kesemuanya",module,Hoatamus_CustomizeTheme
"'New order with iPay88: #' .","Pesanan baru dengan iPay88:#'.",module,Ipay88_Ipay88
"Unable to place order.","Tidak boleh meletakkan pesanan.",module,Ipay88_Ipay88
"You notified customer about invoice #%1.","Anda memberitahu pelanggan mengenai invois #%1.",module,Ipay88_Ipay88
"iPay88 Response","Respon iPay88",module,Ipay88_Ipay88
"Payment failed.","Bayaran gagal.",module,Ipay88_Ipay88
"Your order have been set Pending. We will confirm to you as soon as possible. Thanks!","Pesanan anda ditetapkan sebagai Belum Selesai. Kami akan mengesahkannya secepat mungkin. Terima kasih!",module,Ipay88_Ipay88
"Invalid return, no transactionId specified","Pulangan yang tidak sah, tiada transaksi yang dinyatakan",module,Ipay88_Ipay88
"Created invoice #%1.","Invois dihasilkan #%1",module,Ipay88_Ipay88
"quick shop","beli cepat",module,Lancome_Catalog
"discover","temui",module,Lancome_Catalog
"Add to Cart","Tambah ke Troli",module,Lancome_Catalog
"In stock","Ada stok",module,Lancome_Catalog
"Out of stock","Tiada stok",module,Lancome_Catalog
"Best Sellers","Paling Laris",module,Lancome_Catalog
"New In","Produk Terkini",module,Lancome_Catalog
"Top Rated","Paling Hangat",module,Lancome_Catalog
"You used coupon code ""%1"".","Anda telah menggunakan kod ""%1"".",module,Lancome_Checkout
"The coupon code ""%1"" is not valid.","Kod kupon ""%1"" tidak sah.",module,Lancome_Checkout
"You canceled the coupon code.","Anda telah membatalkan kod kupon.",module,Lancome_Checkout
"We cannot apply the coupon code.","Kami tidak boleh menggunakan kod kupon.",module,Lancome_Checkout
"Street Address","Alamat Jalan",module,Lancome_Checkout
"Street line 2","Baris kedua",module,Lancome_Checkout
"For delivery questions.","Untuk soalan-soalan penghantaran.",module,Lancome_Checkout
"Your profile has been updated successfully!","Profil anda telah berjaya dikemas kini!",module,Lancome_CustomerAttribute
"Engraving Sale Report","Membentuk Laporan Jualan",module,Lancome_Engraving
"Invalid date specified","Tarikh ditentukan tidak sah",module,Lancome_Engraving
"Refresh","Muatan semula",module,Lancome_Engraving
"Back","Kembali",module,Lancome_Engraving
"Delete Scheduler","Padam Penjadual",module,Lancome_Engraving
"Are you sure you want to do this?","Adakah anda pasti ?",module,Lancome_Engraving
"Save and Continue Edit","Simpan dan Teruskan Edit",module,Lancome_Engraving
"Save Scheduler","Simpan Penjadual",module,Lancome_Engraving
"Run The Cron Right Now!","Jalankan Cron Sekarang!",module,Lancome_Engraving
"Event Tickets Sold","Tiket Acara Habis Terjual",module,Lancome_Engraving
"Lancome","Lancome",module,Lancome_Engraving
"Scheduler","Penjadual",module,Lancome_Engraving
"You deleted the Scheduler.","Anda telah memadam Penjadual",module,Lancome_Engraving
"We can't find a Scheduler to delete.","Kami tidak dapat mencari Penjadual untuk dipadam",module,Lancome_Engraving
"This Scheduler no longer exists.","Penjadual ini tidak lagi wujud.",module,Lancome_Engraving
"Edit Scheduler","Edit Penjadual",module,Lancome_Engraving
"New Scheduler","Penjadual Baharu",module,Lancome_Engraving
"Schedulers","Penjadual",module,Lancome_Engraving
"Please correct the data sent.","Sila betulkan data yang dihantar.",module,Lancome_Engraving
"You saved the Scheduler.","Anda telah menyimpan Penjadual.",module,Lancome_Engraving
"Something went wrong while saving the Scheduler.","Terdapat ralat semasa menyimpan Penjadual.",module,Lancome_Engraving
"Success","Berjaya",module,Lancome_Engraving
"Add Free Custom Engraving","Tambah Ukiran Khas Percuma",module,Lancome_Engraving
"Could not save the matcher: %1","Pemadan tidak boleh disimpan: %1",module,Lancome_Engraving
"Matcher with id ""%1"" does not exist.","Pemadan dengan ID ""%1"" tidak wujud.",module,Lancome_Engraving
"Requested Matcher doesn't exist","Pemadan Diminta tidak wujud",module,Lancome_Engraving
"Could not delete the Matcher: %1","Pemadan tidak boleh dipadam: %1",module,Lancome_Engraving
"Active","Aktif",module,Lancome_Engraving
"Disabled","Dilumpuhkan",module,Lancome_Engraving
"Could not save the scheduler: %1","Penjadual tidak boleh disimpan: %1",module,Lancome_Engraving
"Scheduler with id ""%1"" does not exist.","Penjadual dengan id ""%1"" tidak wujud.",module,Lancome_Engraving
"Could not delete the Scheduler: %1","Penjadual tidak boleh dipadam: %1",module,Lancome_Engraving
"Edit","Edit",module,Lancome_Engraving
"Delete","Padam",module,Lancome_Engraving
"Delete ""${ $.$data.title }","Padam ""${ $.$data.title }",module,Lancome_Engraving
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Anda pasti mahu memadam rekod ""${ $.$data.title }""?",module,Lancome_Engraving
"Event Date From","Tarikh Acara Dari",module,Lancome_Engraving
"To","Ke",module,Lancome_Engraving
"Select Date","Tarikh Dipilih",module,Lancome_Engraving
"Maximum number of characters:","Jumlah maksimum karakter:",module,Lancome_Engraving
"Enter message","Masukkan mesej",module,Lancome_Engraving
"Limited to %1 characters, including spaces. Only the following characters are allowed: letters A-Z, numbers 0-9 and .-_!@#:;&lt;&gt;()$*&amp;","Terhad kepada %1 karakter, termasuk jarak. Hanya karakter berikut dibenarkan: abjad A-Z, nombor 0-9 dan _!@#:;&lt;&gt;()$*&amp;",module,Lancome_Engraving
"<span>I agree with LANC√îME‚Äôs no refund policy for engraved items.</span><a target=""_blank"" rel=""nofollow"" class=""txtlink"" href=""%1"">Read Engraving Policy</a>.","<span>Saya bersetuju dengan polisi tiada bayaran balik Lancome untuk item yang diukir.</span><a target=""_blank"" rel=""nofollow"" class=""txtlink"" href=""%1"">Read Engraving Policy</a>.",module,Lancome_Engraving
"Disclaimer:","Pemberitahuan:",module,Lancome_Engraving
"Address Line 2","Alamat Baris Kedua",module,Lancome_ExtraCheckoutAddressFields
"Address Line 3","Alamat Baris Ketiga",module,Lancome_ExtraCheckoutAddressFields
"An error occured.","Ralat berlaku",module,Lancome_ExtraCheckoutAddressFields
"Malaysia","Malaysia",module,Lancome_Storelocator
"This item no longer exists.","Item ini tidak wujud lagi",module,MGS_Mmegamenu
"This Menu no longer exists.","Menu ini tidak lagi wujud.",module,MGS_Mmegamenu
"Please select item(s).","Sila pilih item.",module,MGS_Mmegamenu
"You saved the item.","Anda telah menyimpan item.",module,MGS_Mmegamenu
"This menu no longer exists.","Menu ini tidak wujud lagi .",module,MGS_Mmegamenu
